speed,impact,duration,power,efficiency,ml_prediction,rule_prediction,final_prediction,player_avg_speed,pro_avg_speed,gap_speed,player_avg_impact,pro_avg_impact,gap_impact,player_avg_duration,pro_avg_duration,gap_duration,player_avg_power,pro_avg_power,gap_power,player_avg_efficiency,pro_avg_efficiency,gap_efficiency,improvement_suggestions
48.81,35.93,0.42,1753.7433,85.54741536329676,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,38.69,0.36,2056.7603999999997,107.47192368910088,STRONG,STRONG,STRONG,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
50.55,38.0,0.43,1920.8999999999999,88.37188750723836,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
46.72,41.67,0.37,1946.8224,112.62131723968315,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
50.55,36.91,0.42,1865.8004999999998,87.88074314108776,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,37.89,0.98,2014.2323999999999,38.663225853851166,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,37.17,0.46,1975.9572,80.80417216484312,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,37.59,0.44,1998.2844,85.43162401903633,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,38.99,0.48,2072.7084,81.22899743958868,MEDIUM,STRONG,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
51.8,38.24,0.55,1980.832,69.52714631427942,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,34.54,0.4,1836.1463999999999,86.34978412553968,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
47.69,37.31,0.52,1779.3139,71.74986201949612,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
51.53,36.49,0.47,1880.3297000000002,77.63813268482409,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
50.55,38.73,0.35,1957.8014999999998,110.65682669478088,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
51.8,38.88,0.83,2013.984,46.843317056244516,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
42.8,33.0,2.22,1412.3999999999999,14.864858168982805,MEDIUM,WEAK,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
34.04,31.58,0.37,1074.9832,85.35112067264683,WEAK,WEAK,WEAK,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
35.71,26.52,0.44,947.0292000000001,60.272590289567525,WEAK,WEAK,WEAK,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
34.68,18.07,0.45,626.6676,40.155466321185955,WEAK,WEAK,WEAK,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
35.01,19.9,0.35,696.699,56.85698040862741,WEAK,WEAK,WEAK,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
32.25,20.16,0.24,650.16,83.99965000145833,WEAK,WEAK,WEAK,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
21.2,16.8,1.35,356.16,12.444435226344277,WEAK,WEAK,WEAK,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
39.98,33.12,0.55,1324.1375999999998,60.21807233077757,MEDIUM,WEAK,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
46.81,34.28,0.48,1604.6468000000002,71.41651788225442,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
39.66,34.06,0.48,1350.8196,70.95818550378021,MEDIUM,WEAK,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
50.19,34.17,0.61,1714.9923000000001,56.01630161262031,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
44.79,33.31,0.43,1491.9549000000002,77.46493612805553,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
44.49,32.86,0.43,1461.9414,76.41842693389086,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
46.38,34.91,0.47,1619.1258,74.276437709707,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,35.96,0.53,1911.6336,67.84892858692719,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
43.74,32.61,0.46,1426.3614,70.89115023662993,MEDIUM,WEAK,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
53.16,34.63,1.87,1840.9308,18.51870667448841,MEDIUM,MEDIUM,MEDIUM,47.88,53.51,-5.63,34.72,47.35,-12.63,0.54,0.38,-0.16,1700.34,2532.58,-832.24,77.73,69.01,8.72,Improve wrist acceleration and racket swing speed | Improve smash timing and impact force | Reduce swing execution time for faster response
